Datasets,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,Accuracy,TrainingTime (seconds),TestingTime (seconds),TotalTime (seconds),TotalFeatures,TotalNodes
TwoPatterns,0.9975,0.998,0.99775,0.997,0.997,0.9975,0.998,0.99725,0.99825,0.99825,0.99765,94.86753492,7.529009654,102.3965446,169.9084,37.089
UWaveGestureLibraryAll,0.953657175,0.953657175,0.957286432,0.955053043,0.953098827,0.955053043,0.955053043,0.955053043,0.953936348,0.955890564,0.954773869,317.4872927,40.99177889,358.4790716,287.0686,38.292
UWaveGestureLibraryX,0.808486879,0.808486879,0.811557789,0.813791178,0.81546622,0.812116136,0.807649358,0.812116136,0.810999442,0.809603573,0.811027359,164.44336,23.85364778,188.2970078,224.44,60.5376
UWaveGestureLibraryY,0.744835288,0.740926857,0.740926857,0.740647683,0.741485204,0.740089336,0.740926857,0.745951982,0.738972641,0.740926857,0.741568956,166.8509132,24.82558373,191.6764969,224.9404,67.3454
UWaveGestureLibraryZ,0.757677275,0.756560581,0.760748185,0.758514796,0.757398102,0.759910664,0.762702401,0.760469012,0.757118928,0.754885539,0.758598548,166.0689518,25.52450321,191.593455,223.4066,65.699
Wafer,0.999675535,0.999837768,0.999837768,0.999837768,0.999837768,0.999837768,0.999837768,0.999837768,0.999837768,0.999837768,0.999821544,84.5072399,3.709719775,88.21695968,182.0276,3.2194
Wine,0.62962963,0.648148148,0.740740741,0.685185185,0.648148148,0.685185185,0.685185185,0.666666667,0.611111111,0.685185185,0.668518519,32.58461604,0.824322454,33.4089385,204.1888,3.6444
WordSynonyms,0.631661442,0.623824451,0.628526646,0.648902821,0.641065831,0.639498433,0.636363636,0.642633229,0.637931034,0.63322884,0.636363636,123.3996967,4.150810788,127.5505075,213.9916,43.3944
Worms,0.766233766,0.753246753,0.766233766,0.766233766,0.753246753,0.753246753,0.792207792,0.766233766,0.779220779,0.779220779,0.767532468,102.3424803,2.264674064,104.6071544,284.1152,18.1738
WormsTwoClass,0.792207792,0.779220779,0.805194805,0.805194805,0.818181818,0.792207792,0.792207792,0.753246753,0.766233766,0.805194805,0.790909091,84.82172077,1.55728146,86.37900223,283.374,11.519
Yoga,0.826666667,0.828666667,0.831333333,0.827333333,0.825666667,0.825,0.829666667,0.826333333,0.834666667,0.824666667,0.828,78.87066693,8.392763059,87.26342999,240.1222,15.894
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Average accuracy,0.824666173,0.825743055,0.826336719,0.828353698,0.827163401,0.825070045,0.826139507,0.826258535,0.826080101,0.824429389,0.826024062,11448.1045,516.0833342,11964.18784,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,45 datasets,5293.700753,307.0632998,5600.764052,,
